question,label,answer
tomato सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
how to protect tomato from bollworm,CROP_DISEASE,crop_disease
how often to water cotton,IRRIGATION_GUIDE,irrigation_guide
when should i irrigate onion,IRRIGATION_GUIDE,irrigation_guide
high yield variety of onion,SEED_GUIDE,seed_guide
rice ko kaise store kare,STORAGE_GUIDE,storage_guide
how to improve soil health,SOIL_HEALTH,soil_health
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
best compost for healthy soil,SOIL_HEALTH,soil_health
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
which hybrid seeds are good for wheat,SEED_GUIDE,seed_guide
tomato ke liye beej kaunsa le,SEED_GUIDE,seed_guide
best nutrients for potato,FERTILIZER_SUGGESTION,fertilizer_suggestion
symptoms of root rot in onion,CROP_DISEASE,crop_disease
what is todays weather,WEATHER_QUERY,weather_query
when should i irrigate sugarcane,IRRIGATION_GUIDE,irrigation_guide
humidity level today,WEATHER_QUERY,weather_query
how much npk for onion,FERTILIZER_SUGGESTION,fertilizer_suggestion
how much npk for grapes,FERTILIZER_SUGGESTION,fertilizer_suggestion
high yield variety of pulses,SEED_GUIDE,seed_guide
soybean ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
is drip irrigation good for banana,IRRIGATION_GUIDE,irrigation_guide
best seed variety for tomato,SEED_GUIDE,seed_guide
will it rain today in nagpur,WEATHER_QUERY,weather_query
potato सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
potato ko kaise store kare,STORAGE_GUIDE,storage_guide
is drip irrigation good for maize,IRRIGATION_GUIDE,irrigation_guide
wheat disease fungal infection treatment,CROP_DISEASE,crop_disease
how often to water sugarcane,IRRIGATION_GUIDE,irrigation_guide
will it rain today in hyderabad,WEATHER_QUERY,weather_query
how to avoid insects while storing rice,STORAGE_GUIDE,storage_guide
how to improve soil health,SOIL_HEALTH,soil_health
grapes ल bollworm झल तर कय करव,CROP_DISEASE,crop_disease
how to reduce soil acidity,SOIL_HEALTH,soil_health
onion disease whitefly treatment,CROP_DISEASE,crop_disease
when should i irrigate pulses,IRRIGATION_GUIDE,irrigation_guide
आज पऊस यईल क,WEATHER_QUERY,weather_query
grapes सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
kal barsaat hogi kya,WEATHER_QUERY,weather_query
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
tomato ko kaise store kare,STORAGE_GUIDE,storage_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
symptoms of stem borer in rice,CROP_DISEASE,crop_disease
which fertilizer is best for potato,FERTILIZER_SUGGESTION,fertilizer_suggestion
groundnut me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
how to protect onion from bollworm,CROP_DISEASE,crop_disease
which hybrid seeds are good for groundnut,SEED_GUIDE,seed_guide
how to avoid insects while storing rice,STORAGE_GUIDE,storage_guide
high yield variety of tomato,SEED_GUIDE,seed_guide
maize ko kaise store kare,STORAGE_GUIDE,storage_guide
how to improve soil health,SOIL_HEALTH,soil_health
how to improve soil health,SOIL_HEALTH,soil_health
storage method for millet,STORAGE_GUIDE,storage_guide
millet ल fungal infection झल तर कय करव,CROP_DISEASE,crop_disease
best seed variety for soybean,SEED_GUIDE,seed_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
how often to water wheat,IRRIGATION_GUIDE,irrigation_guide
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
kal barsaat hogi kya,WEATHER_QUERY,weather_query
storage method for sunflower,STORAGE_GUIDE,storage_guide
kal barsaat hogi kya,WEATHER_QUERY,weather_query
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
maize me aphids ka ilaj kya hai,CROP_DISEASE,crop_disease
sunflower कस सठवव,STORAGE_GUIDE,storage_guide
which fertilizer is best for maize,FERTILIZER_SUGGESTION,fertilizer_suggestion
banana सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
storage method for groundnut,STORAGE_GUIDE,storage_guide
maize सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
when should i irrigate tomato,IRRIGATION_GUIDE,irrigation_guide
how to avoid insects while storing banana,STORAGE_GUIDE,storage_guide
when should i irrigate sugarcane,IRRIGATION_GUIDE,irrigation_guide
how much npk for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
is drip irrigation good for banana,IRRIGATION_GUIDE,irrigation_guide
best compost for healthy soil,SOIL_HEALTH,soil_health
आज पऊस यईल क,WEATHER_QUERY,weather_query
high yield variety of rice,SEED_GUIDE,seed_guide
banana disease fungal infection treatment,CROP_DISEASE,crop_disease
what is todays weather,WEATHER_QUERY,weather_query
sugarcane ko kaise store kare,STORAGE_GUIDE,storage_guide
sunflower disease stem borer treatment,CROP_DISEASE,crop_disease
humidity level today,WEATHER_QUERY,weather_query
which fertilizer is best for sunflower,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to improve soil health,SOIL_HEALTH,soil_health
sugarcane disease fungal infection treatment,CROP_DISEASE,crop_disease
humidity level today,WEATHER_QUERY,weather_query
is drip irrigation good for sugarcane,IRRIGATION_GUIDE,irrigation_guide
how often to water soybean,IRRIGATION_GUIDE,irrigation_guide
pulses ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
how much npk for banana,FERTILIZER_SUGGESTION,fertilizer_suggestion
cotton disease rust treatment,CROP_DISEASE,crop_disease
best compost for healthy soil,SOIL_HEALTH,soil_health
high yield variety of grapes,SEED_GUIDE,seed_guide
grapes ke liye beej kaunsa le,SEED_GUIDE,seed_guide
millet ल whitefly झल तर कय करव,CROP_DISEASE,crop_disease
how much npk for onion,FERTILIZER_SUGGESTION,fertilizer_suggestion
tomato कस सठवव,STORAGE_GUIDE,storage_guide
best seed variety for pulses,SEED_GUIDE,seed_guide
humidity level today,WEATHER_QUERY,weather_query
sugarcane सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to protect tomato from stem borer,CROP_DISEASE,crop_disease
what is todays weather,WEATHER_QUERY,weather_query
storage method for rice,STORAGE_GUIDE,storage_guide
best compost for healthy soil,SOIL_HEALTH,soil_health
how to avoid insects while storing groundnut,STORAGE_GUIDE,storage_guide
how to reduce soil acidity,SOIL_HEALTH,soil_health
when should i irrigate grapes,IRRIGATION_GUIDE,irrigation_guide
potato सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
what is todays weather,WEATHER_QUERY,weather_query
symptoms of blight in onion,CROP_DISEASE,crop_disease
will it rain today in mumbai,WEATHER_QUERY,weather_query
what is todays weather,WEATHER_QUERY,weather_query
best seed variety for rice,SEED_GUIDE,seed_guide
how to avoid insects while storing millet,STORAGE_GUIDE,storage_guide
potato disease leaf spot treatment,CROP_DISEASE,crop_disease
wheat सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to protect sunflower from rust,CROP_DISEASE,crop_disease
potato ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
soybean ke liye beej kaunsa le,SEED_GUIDE,seed_guide
will it rain today in mumbai,WEATHER_QUERY,weather_query
best seed variety for millet,SEED_GUIDE,seed_guide
when should i irrigate sugarcane,IRRIGATION_GUIDE,irrigation_guide
storage method for millet,STORAGE_GUIDE,storage_guide
how to reduce soil acidity,SOIL_HEALTH,soil_health
rice सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
which fertilizer is best for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
grapes ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
best seed variety for millet,SEED_GUIDE,seed_guide
millet me fungal infection ka ilaj kya hai,CROP_DISEASE,crop_disease
will it rain today in nagpur,WEATHER_QUERY,weather_query
how to store potato,STORAGE_GUIDE,storage_guide
maize ल leaf spot झल तर कय करव,CROP_DISEASE,crop_disease
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
high yield variety of groundnut,SEED_GUIDE,seed_guide
storage method for tomato,STORAGE_GUIDE,storage_guide
how to avoid insects while storing potato,STORAGE_GUIDE,storage_guide
how to reduce soil acidity,SOIL_HEALTH,soil_health
tomato disease root rot treatment,CROP_DISEASE,crop_disease
onion me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
when should i irrigate maize,IRRIGATION_GUIDE,irrigation_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
onion disease leaf spot treatment,CROP_DISEASE,crop_disease
rice ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to store sunflower,STORAGE_GUIDE,storage_guide
pulses me fungal infection ka ilaj kya hai,CROP_DISEASE,crop_disease
grapes ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
symptoms of fungal infection in soybean,CROP_DISEASE,crop_disease
best nutrients for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
tomato me rust ka ilaj kya hai,CROP_DISEASE,crop_disease
onion me blast ka ilaj kya hai,CROP_DISEASE,crop_disease
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
groundnut ल stem borer झल तर कय करव,CROP_DISEASE,crop_disease
which fertilizer is best for sunflower,FERTILIZER_SUGGESTION,fertilizer_suggestion
will it rain today in mumbai,WEATHER_QUERY,weather_query
groundnut ke liye beej kaunsa le,SEED_GUIDE,seed_guide
how to protect cotton from aphids,CROP_DISEASE,crop_disease
wheat disease root rot treatment,CROP_DISEASE,crop_disease
best nutrients for groundnut,FERTILIZER_SUGGESTION,fertilizer_suggestion
what is todays weather,WEATHER_QUERY,weather_query
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
when should i irrigate cotton,IRRIGATION_GUIDE,irrigation_guide
grapes ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
potato ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
maize ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
sugarcane ल leaf spot झल तर कय करव,CROP_DISEASE,crop_disease
how to avoid insects while storing millet,STORAGE_GUIDE,storage_guide
tomato कस सठवव,STORAGE_GUIDE,storage_guide
what is todays weather,WEATHER_QUERY,weather_query
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
when should i irrigate tomato,IRRIGATION_GUIDE,irrigation_guide
best nutrients for sunflower,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to reduce soil acidity,SOIL_HEALTH,soil_health
maize ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
how to reduce soil acidity,SOIL_HEALTH,soil_health
rice ल blast झल तर कय करव,CROP_DISEASE,crop_disease
potato कस सठवव,STORAGE_GUIDE,storage_guide
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
which fertilizer is best for grapes,FERTILIZER_SUGGESTION,fertilizer_suggestion
humidity level today,WEATHER_QUERY,weather_query
best seed variety for pulses,SEED_GUIDE,seed_guide
maize me fungal infection ka ilaj kya hai,CROP_DISEASE,crop_disease
cotton कस सठवव,STORAGE_GUIDE,storage_guide
groundnut ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
how to improve soil health,SOIL_HEALTH,soil_health
grapes सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
symptoms of blast in millet,CROP_DISEASE,crop_disease
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
is drip irrigation good for groundnut,IRRIGATION_GUIDE,irrigation_guide
which fertilizer is best for rice,FERTILIZER_SUGGESTION,fertilizer_suggestion
which hybrid seeds are good for grapes,SEED_GUIDE,seed_guide
sunflower ko kaise store kare,STORAGE_GUIDE,storage_guide
how to improve soil health,SOIL_HEALTH,soil_health
symptoms of rust in cotton,CROP_DISEASE,crop_disease
how to protect cotton from root rot,CROP_DISEASE,crop_disease
how to reduce soil acidity,SOIL_HEALTH,soil_health
grapes सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
groundnut सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
is drip irrigation good for onion,IRRIGATION_GUIDE,irrigation_guide
soybean सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
आज पऊस यईल क,WEATHER_QUERY,weather_query
maize disease fungal infection treatment,CROP_DISEASE,crop_disease
banana me bollworm ka ilaj kya hai,CROP_DISEASE,crop_disease
how to store wheat,STORAGE_GUIDE,storage_guide
sugarcane me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
best nutrients for wheat,FERTILIZER_SUGGESTION,fertilizer_suggestion
symptoms of rust in tomato,CROP_DISEASE,crop_disease
best seed variety for cotton,SEED_GUIDE,seed_guide
how to store sugarcane,STORAGE_GUIDE,storage_guide
best compost for healthy soil,SOIL_HEALTH,soil_health
rice सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
is drip irrigation good for sunflower,IRRIGATION_GUIDE,irrigation_guide
how much npk for maize,FERTILIZER_SUGGESTION,fertilizer_suggestion
pulses सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
best compost for healthy soil,SOIL_HEALTH,soil_health
soybean me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
how often to water pulses,IRRIGATION_GUIDE,irrigation_guide
sunflower disease blight treatment,CROP_DISEASE,crop_disease
how to avoid insects while storing sugarcane,STORAGE_GUIDE,storage_guide
best compost for healthy soil,SOIL_HEALTH,soil_health
storage method for tomato,STORAGE_GUIDE,storage_guide
best nutrients for soybean,FERTILIZER_SUGGESTION,fertilizer_suggestion
cotton me blast ka ilaj kya hai,CROP_DISEASE,crop_disease
millet me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
grapes सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
soybean me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
potato me root rot ka ilaj kya hai,CROP_DISEASE,crop_disease
how often to water sunflower,IRRIGATION_GUIDE,irrigation_guide
tomato सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
cotton ke liye beej kaunsa le,SEED_GUIDE,seed_guide
potato ke liye beej kaunsa le,SEED_GUIDE,seed_guide
high yield variety of millet,SEED_GUIDE,seed_guide
kal barsaat hogi kya,WEATHER_QUERY,weather_query
high yield variety of maize,SEED_GUIDE,seed_guide
आज पऊस यईल क,WEATHER_QUERY,weather_query
how to avoid insects while storing groundnut,STORAGE_GUIDE,storage_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
when should i irrigate pulses,IRRIGATION_GUIDE,irrigation_guide
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
best compost for healthy soil,SOIL_HEALTH,soil_health
storage method for grapes,STORAGE_GUIDE,storage_guide
is drip irrigation good for cotton,IRRIGATION_GUIDE,irrigation_guide
best seed variety for banana,SEED_GUIDE,seed_guide
wheat me root rot ka ilaj kya hai,CROP_DISEASE,crop_disease
best compost for healthy soil,SOIL_HEALTH,soil_health
will it rain today in hyderabad,WEATHER_QUERY,weather_query
best compost for healthy soil,SOIL_HEALTH,soil_health
how to avoid insects while storing banana,STORAGE_GUIDE,storage_guide
when should i irrigate pulses,IRRIGATION_GUIDE,irrigation_guide
groundnut ke liye beej kaunsa le,SEED_GUIDE,seed_guide
wheat ke liye beej kaunsa le,SEED_GUIDE,seed_guide
onion ke liye beej kaunsa le,SEED_GUIDE,seed_guide
how often to water potato,IRRIGATION_GUIDE,irrigation_guide
how much npk for maize,FERTILIZER_SUGGESTION,fertilizer_suggestion
grapes कस सठवव,STORAGE_GUIDE,storage_guide
kal barsaat hogi kya,WEATHER_QUERY,weather_query
sugarcane सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
wheat ल fungal infection झल तर कय करव,CROP_DISEASE,crop_disease
आज पऊस यईल क,WEATHER_QUERY,weather_query
best compost for healthy soil,SOIL_HEALTH,soil_health
storage method for banana,STORAGE_GUIDE,storage_guide
potato disease stem borer treatment,CROP_DISEASE,crop_disease
storage method for grapes,STORAGE_GUIDE,storage_guide
storage method for groundnut,STORAGE_GUIDE,storage_guide
pulses disease whitefly treatment,CROP_DISEASE,crop_disease
best nutrients for onion,FERTILIZER_SUGGESTION,fertilizer_suggestion
maize ko kaise store kare,STORAGE_GUIDE,storage_guide
millet कस सठवव,STORAGE_GUIDE,storage_guide
which fertilizer is best for tomato,FERTILIZER_SUGGESTION,fertilizer_suggestion
maize ke liye beej kaunsa le,SEED_GUIDE,seed_guide
maize सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
आज पऊस यईल क,WEATHER_QUERY,weather_query
banana disease fungal infection treatment,CROP_DISEASE,crop_disease
how to reduce soil acidity,SOIL_HEALTH,soil_health
symptoms of leaf spot in groundnut,CROP_DISEASE,crop_disease
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
आज पऊस यईल क,WEATHER_QUERY,weather_query
how to store millet,STORAGE_GUIDE,storage_guide
banana कस सठवव,STORAGE_GUIDE,storage_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
how to store sugarcane,STORAGE_GUIDE,storage_guide
what is todays weather,WEATHER_QUERY,weather_query
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
onion ल root rot झल तर कय करव,CROP_DISEASE,crop_disease
how to reduce soil acidity,SOIL_HEALTH,soil_health
maize disease bollworm treatment,CROP_DISEASE,crop_disease
which fertilizer is best for millet,FERTILIZER_SUGGESTION,fertilizer_suggestion
humidity level today,WEATHER_QUERY,weather_query
what is todays weather,WEATHER_QUERY,weather_query
rice disease leaf spot treatment,CROP_DISEASE,crop_disease
will it rain today in bhopal,WEATHER_QUERY,weather_query
when should i irrigate banana,IRRIGATION_GUIDE,irrigation_guide
आज पऊस यईल क,WEATHER_QUERY,weather_query
cotton ke liye beej kaunsa le,SEED_GUIDE,seed_guide
rice me whitefly ka ilaj kya hai,CROP_DISEASE,crop_disease
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
humidity level today,WEATHER_QUERY,weather_query
soybean disease blight treatment,CROP_DISEASE,crop_disease
millet me fungal infection ka ilaj kya hai,CROP_DISEASE,crop_disease
which fertilizer is best for groundnut,FERTILIZER_SUGGESTION,fertilizer_suggestion
when should i irrigate potato,IRRIGATION_GUIDE,irrigation_guide
is drip irrigation good for wheat,IRRIGATION_GUIDE,irrigation_guide
is drip irrigation good for millet,IRRIGATION_GUIDE,irrigation_guide
how much npk for groundnut,FERTILIZER_SUGGESTION,fertilizer_suggestion
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
pulses me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
sunflower सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
maize me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
will it rain today in mumbai,WEATHER_QUERY,weather_query
wheat ल aphids झल तर कय करव,CROP_DISEASE,crop_disease
will it rain today in nashik,WEATHER_QUERY,weather_query
banana सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
sugarcane ल पण कध दयव,IRRIGATION_GUIDE,irrigation_guide
kal barsaat hogi kya,WEATHER_QUERY,weather_query
millet सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
humidity level today,WEATHER_QUERY,weather_query
what is todays weather,WEATHER_QUERY,weather_query
pulses ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
symptoms of leaf spot in sugarcane,CROP_DISEASE,crop_disease
onion ko kaise store kare,STORAGE_GUIDE,storage_guide
is drip irrigation good for tomato,IRRIGATION_GUIDE,irrigation_guide
sunflower ल bollworm झल तर कय करव,CROP_DISEASE,crop_disease
when should i irrigate soybean,IRRIGATION_GUIDE,irrigation_guide
high yield variety of sunflower,SEED_GUIDE,seed_guide
best nutrients for onion,FERTILIZER_SUGGESTION,fertilizer_suggestion
best compost for healthy soil,SOIL_HEALTH,soil_health
sugarcane ल root rot झल तर कय करव,CROP_DISEASE,crop_disease
how to improve soil health,SOIL_HEALTH,soil_health
tomato disease stem borer treatment,CROP_DISEASE,crop_disease
आज पऊस यईल क,WEATHER_QUERY,weather_query
grapes ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
onion कस सठवव,STORAGE_GUIDE,storage_guide
मतच सपकत कश वढवव,SOIL_HEALTH,soil_health
how to protect grapes from whitefly,CROP_DISEASE,crop_disease
grapes me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
groundnut सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
maize ल bollworm झल तर कय करव,CROP_DISEASE,crop_disease
potato ko kaise store kare,STORAGE_GUIDE,storage_guide
best nutrients for cotton,FERTILIZER_SUGGESTION,fertilizer_suggestion
how often to water potato,IRRIGATION_GUIDE,irrigation_guide
grapes ke liye beej kaunsa le,SEED_GUIDE,seed_guide
soybean ke liye beej kaunsa le,SEED_GUIDE,seed_guide
how often to water millet,IRRIGATION_GUIDE,irrigation_guide
cotton ल whitefly झल तर कय करव,CROP_DISEASE,crop_disease
soybean कस सठवव,STORAGE_GUIDE,storage_guide
humidity level today,WEATHER_QUERY,weather_query
best nutrients for millet,FERTILIZER_SUGGESTION,fertilizer_suggestion
will it rain today in lucknow,WEATHER_QUERY,weather_query
high yield variety of onion,SEED_GUIDE,seed_guide
humidity level today,WEATHER_QUERY,weather_query
आज पऊस यईल क,WEATHER_QUERY,weather_query
best compost for healthy soil,SOIL_HEALTH,soil_health
sugarcane me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
groundnut ko kaise store kare,STORAGE_GUIDE,storage_guide
will it rain today in hyderabad,WEATHER_QUERY,weather_query
best seed variety for groundnut,SEED_GUIDE,seed_guide
which fertilizer is best for rice,FERTILIZER_SUGGESTION,fertilizer_suggestion
high yield variety of pulses,SEED_GUIDE,seed_guide
when should i irrigate cotton,IRRIGATION_GUIDE,irrigation_guide
how much npk for maize,FERTILIZER_SUGGESTION,fertilizer_suggestion
storage method for wheat,STORAGE_GUIDE,storage_guide
how to avoid insects while storing potato,STORAGE_GUIDE,storage_guide
maize me paani kab dena chahiye,IRRIGATION_GUIDE,irrigation_guide
potato ke liye beej kaunsa le,SEED_GUIDE,seed_guide
wheat कस सठवव,STORAGE_GUIDE,storage_guide
maize सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
cotton disease leaf spot treatment,CROP_DISEASE,crop_disease
is drip irrigation good for sunflower,IRRIGATION_GUIDE,irrigation_guide
mitti ki upj kaise badhaye,SOIL_HEALTH,soil_health
how to improve soil health,SOIL_HEALTH,soil_health
grapes कस सठवव,STORAGE_GUIDE,storage_guide
which hybrid seeds are good for potato,SEED_GUIDE,seed_guide
pulses ko kaise store kare,STORAGE_GUIDE,storage_guide
is drip irrigation good for potato,IRRIGATION_GUIDE,irrigation_guide
how often to water groundnut,IRRIGATION_GUIDE,irrigation_guide
sugarcane सठ कणत खत वपरव,FERTILIZER_SUGGESTION,fertilizer_suggestion
what is todays weather,WEATHER_QUERY,weather_query
how to improve soil health,SOIL_HEALTH,soil_health
groundnut ke liye kaunsa fertilizer sahi hai,FERTILIZER_SUGGESTION,fertilizer_suggestion
which fertilizer is best for groundnut,FERTILIZER_SUGGESTION,fertilizer_suggestion
sunflower सठ सरवततम बयण कणत,SEED_GUIDE,seed_guide
